"filename", "language", "YAML", "Dart", "C++", "Markdown", "HTML", "JSON", "XML", "Properties", "Swift", "Groovy", "comment", "blank", "total"
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\telecamere\widget\telecamere_menu_large.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\telecamere\widget\telecamere_menu_medium.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\pages\telecamere\widget\telecamere_menu_small.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\routing\router.dart", "Dart", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 43
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\routing\routes.dart", "Dart", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 92
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\widgets\custom\autocomplete_textfield.dart", "Dart", 0, 399, 0, 0, 0, 0, 0, 0, 0, 0, 3, 51, 453
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\widgets\custom\breathing_container.dart", "Dart", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 87
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\widgets\custom\custom_alert_dialog.dart", "Dart", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 53
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\widgets\custom\custom_container.dart", "Dart", 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 26, 15, 171
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\widgets\custom\custom_dropdownmenu.dart", "Dart", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 55
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\widgets\custom\custom_text.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\widgets\custom\decimal_input.dart", "Dart", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 46
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\widgets\custom\default_line_chart.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 9, 8, 56
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\widgets\custom\editable_textfield.dart", "Dart", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 63
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\widgets\custom\number_slider.dart", "Dart", 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19, 134
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\widgets\custom\shake.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\widgets\custom\shake_controller.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 16
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\widgets\custom\static_button.dart", "Dart", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 69
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\widgets\horizontal_menu_item.dart", "Dart", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 68
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\widgets\large_screen.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\galfe\OneDrive\Documenti\Scuola\MultiPlatformInterface\Interface\Dashboard\lib\widgets\menu_controller.dart", "Dart", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 68
