"filename", "language", "Dart", "YAML", "C++", "Markdown", "HTML", "Properties", "Groovy", "JSON", "XML", "Swift", "comment", "blank", "total"
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\manual_operations\widget\manual_operations_medium.dart", "Dart", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\manual_operations\widget\manual_operations_small.dart", "Dart", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\manual_operations\widget\mechanical_group_icon.dart", "Dart", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 120
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\overview\overview.dart", "Dart", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 47
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\overview\widgets\info_card.dart", "Dart", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 70
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\overview\widgets\info_card_small.dart", "Dart", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 53
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\overview\widgets\overview_cards_large.dart", "Dart", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 66
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\overview\widgets\overview_cards_medium.dart", "Dart", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 76
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\overview\widgets\overview_cards_small.dart", "Dart", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 68
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\settings\settings.dart", "Dart", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\states\states.dart", "Dart", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 46
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\states\widgets\states_datatable.dart", "Dart", 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 23, 260
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\states\widgets\states_large.dart", "Dart", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 108
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\states\widgets\states_medium.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\states\widgets\states_small.dart", "Dart", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 48
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\routing\router.dart", "Dart", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 39
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\routing\routes.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\custom_text.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\editable_textfield.dart", "Dart", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 53
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\horizontal_menu_item.dart", "Dart", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 65
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\large_screen.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\menu_controller.dart", "Dart", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 63
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\side_menu.dart", "Dart", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 82
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\side_menu_item.dart", "Dart", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\small_screen.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\stepper.dart", "Dart", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 99
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\top_nav.dart", "Dart", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 97
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\vertical_menu_item.dart", "Dart", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 65
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\pubspec.yaml", "YAML", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 58, 15, 102
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\test\widget_test.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\web\index.html", "HTML", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 17, 6, 102
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 1, 36
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\runner\flutter_window.cpp", "C++", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\runner\flutter_window.h", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\runner\main.cpp", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\runner\resource.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\runner\utils.cpp", "C++", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\runner\utils.h", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\runner\win32_window.cpp", "C++", 0, 0, 183, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\runner\win32_window.h", "C++", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 2674, 32, 405, 13, 79, 8, 86, 180, 126, 12, 396, 511, 4522
