"filename", "language", "YAML", "Dart", "Markdown", "C++", "Swift", "HTML", "JSON", "XML", "Groovy", "Properties", "comment", "blank", "total"
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\small_screen.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\stepper.dart", "Dart", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 99
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\top_nav.dart", "Dart", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 98
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\vertical_menu_item.dart", "Dart", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 65
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\pubspec.yaml", "YAML", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 14, 103
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\test\widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\web\index.html", "HTML", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 17, 6, 102
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 1, 36
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 5, 12
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 4, 13, 62
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\runner\flutter_window.h", "C++", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\runner\main.cpp", "C++", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\runner\resource.h", "C++", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\runner\utils.cpp", "C++", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 2, 10, 65
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\runner\utils.h", "C++", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 183, 0, 0, 0, 0, 0, 0, 15, 48, 246
"d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\runner\win32_window.h", "C++", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 34, 3080, 13, 405, 12, 79, 180, 126, 86, 8, 446, 553, 5022
